	SRR21492517_R1_filtered.fastq.gz	SRR21492518_R1_filtered.fastq.gz	SRR21492519_R1_filtered.fastq.gz	SRR21492520_R1_filtered.fastq.gz	SRR21492521_R1_filtered.fastq.gz	SRR21492522_R1_filtered.fastq.gz	SRR21492523_R1_filtered.fastq.gz	SRR21492524_R1_filtered.fastq.gz	SRR21492525_R1_filtered.fastq.gz	SRR21492526_R1_filtered.fastq.gz	SRR21492527_R1_filtered.fastq.gz	SRR21492528_R1_filtered.fastq.gz	SRR21492529_R1_filtered.fastq.gz	SRR21492530_R1_filtered.fastq.gz	SRR21492531_R1_filtered.fastq.gz	SRR21492532_R1_filtered.fastq.gz	SRR21492533_R1_filtered.fastq.gz	SRR21492534_R1_filtered.fastq.gz	SRR21492535_R1_filtered.fastq.gz	SRR21492536_R1_filtered.fastq.gz	SRR21492537_R1_filtered.fastq.gz	SRR21492538_R1_filtered.fastq.gz	SRR21492539_R1_filtered.fastq.gz	SRR21492540_R1_filtered.fastq.gz	SRR21492541_R1_filtered.fastq.gz	SRR21492542_R1_filtered.fastq.gz	SRR21492543_R1_filtered.fastq.gz	SRR21492544_R1_filtered.fastq.gz	SRR21492545_R1_filtered.fastq.gz	SRR21492546_R1_filtered.fastq.gz	SRR21492547_R1_filtered.fastq.gz	SRR21492548_R1_filtered.fastq.gz	SRR21492549_R1_filtered.fastq.gz	SRR21492550_R1_filtered.fastq.gz	SRR21492551_R1_filtered.fastq.gz
ASV_1566	0	0	0	0	0	0	0	0	29	0	28	0	0	0	0	34	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1567	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	67	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
ASV_1569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	36	0	14	0	0	0	0	0	0	0
ASV_1570	13	7	0	0	0	0	0	0	0	11	0	0	0	10	9	4	0	4	0	0	5	0	2	0	0	12	9	0	4	0	0	6	0	0	0
ASV_1571	5	0	12	0	0	0	34	10	7	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ASV_1572	0	0	0	0	0	0	0	0	0	0	23	0	0	27	0	0	8	0	0	0	0	0	0	0	0	20	18	0	0	0	0	0	0	0	0
ASV_1573	0	0	0	0	0	0	0	0	0	0	0	0	9	0	7	12	11	10	0	5	0	0	0	0	0	9	0	15	18	0	0	0	0	0	0
ASV_1574	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	24	0	30	0	0	0	0	0	0	0	0	22	0	0	9	0	0	0
ASV_1575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	29	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
ASV_1576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	52	14	0	0	0	0	0	0	0	0
ASV_1577	8	15	16	0	0	0	0	0	0	0	33	0	0	0	0	0	0	13	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1578	0	0	58	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
ASV_1579	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	11	0	0	15	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0
ASV_1580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	50	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
ASV_1581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	42	0	30	0	0	0
ASV_1582	52	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0	0
ASV_1583	0	12	0	0	0	0	7	9	2	0	13	0	14	0	3	0	0	0	8	0	5	3	0	0	0	6	5	0	0	0	0	0	7	0	0
ASV_1584	0	7	7	0	0	0	8	7	8	0	0	0	0	0	0	0	0	0	0	6	7	0	0	13	0	8	6	0	3	14	0	0	0	0	0
ASV_1585	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	30	0	0	0	0	0	0
ASV_1586	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	12	0	31	0	0	0	0	0	6	0	0	0
ASV_1587	19	0	0	0	0	0	0	11	0	4	7	0	0	0	0	4	5	0	0	27	0	0	0	10	0	0	0	0	6	0	0	0	0	0	0
ASV_1588	4	0	0	0	0	0	18	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	18	13	0	0	14	0	0	6	0	0	0
ASV_1589	0	31	0	0	0	0	0	0	0	17	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
ASV_1590	0	16	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0	6	17	0	0	0	0	0	0	23	0	0	9	0	0	0
ASV_1591	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0
ASV_1593	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	19	0	0
ASV_1594	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	38	0	0	0	0	0	11	0	0	10	0	0	0	0
ASV_1595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0
ASV_1597	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	37	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
ASV_1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	44	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	10	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	78	0	0	0	0	0	0
ASV_1603	9	17	0	0	0	0	0	24	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
ASV_1604	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
ASV_1605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1606	19	0	0	0	0	0	0	0	0	5	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	19	0	0	0
ASV_1607	13	5	6	0	0	0	19	9	4	0	0	0	0	0	0	0	0	4	0	0	7	4	0	0	0	4	0	0	0	13	0	0	0	0	0
ASV_1608	13	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	14	12	0	0	0	0	0	0	16	17	4	0	0	0	0	0
ASV_1609	0	50	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0
ASV_1610	0	5	3	0	0	0	0	8	0	0	12	0	0	8	0	0	0	0	0	0	0	0	0	16	5	0	13	0	0	18	0	0	0	0	0
ASV_1611	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	5	0	0	0	0	0	0	0	20	0	0	0	0	0	16	24	0	0	0	0
ASV_1612	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1613	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	19	0	26	0	14	0	0	0	0	15	0	0	0	0	0	0
ASV_1614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	54	0	0	0	0	0	0	16	0	0
ASV_1615	0	0	0	0	0	0	20	0	8	0	0	0	10	0	0	0	0	0	0	18	0	0	0	6	0	4	0	0	0	0	21	0	0	0	0
ASV_1616	0	0	0	0	0	0	18	0	0	8	0	0	0	0	0	0	0	0	15	0	0	24	0	0	16	6	0	0	0	0	0	0	0	0	0
ASV_1617	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	16	39	0	0	0	0	0
ASV_1618	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	22	0	8	0	0	0
ASV_1619	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0
ASV_1620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	13	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
ASV_1621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	7	0	0	0	0	15	0	0	0	0	0
ASV_1622	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	40	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1623	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	68	0	0	0
ASV_1625	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	23	0	0	0	0	0	0
ASV_1626	0	25	0	0	0	0	0	0	8	0	0	0	0	0	0	0	13	19	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
ASV_1627	0	13	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	25	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
ASV_1628	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	17	0	0	0	0	39	0	0	0	0	0	8	0	0	0	0	0	0	0	0
ASV_1629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0
ASV_1631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0
ASV_1632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0
ASV_1633	16	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1634	0	9	0	0	0	0	3	0	6	0	9	0	0	7	8	5	0	5	6	0	0	0	0	7	0	9	6	0	0	0	0	0	4	0	0
ASV_1635	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1636	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1637	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0
ASV_1641	43	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1642	9	0	0	0	0	0	0	0	0	0	0	0	12	21	0	0	0	10	0	0	0	0	0	0	0	14	0	0	0	7	10	0	0	0	0
ASV_1643	5	0	0	0	0	0	0	14	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	18	0	19	0	12	0	0	0	0
ASV_1644	0	28	0	0	0	0	26	0	0	0	0	0	12	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1645	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0
ASV_1646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1648	0	14	7	0	0	0	0	11	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0
ASV_1649	0	0	12	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	5	8	5	0	0	10	3	0	0	0	0	0	7	23	0	0
ASV_1650	0	0	40	0	0	0	0	0	14	0	0	0	0	0	11	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1651	0	0	10	0	0	0	28	0	3	0	9	0	0	0	0	0	16	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1652	0	0	56	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1653	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	14	0	0	0	0	27	0	0	0
ASV_1654	0	0	0	0	0	0	8	0	0	0	0	0	0	14	0	0	8	0	0	0	0	0	0	0	0	31	0	0	0	0	6	15	0	0	0
ASV_1655	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
ASV_1656	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	28	0	0	0	0
ASV_1658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0
ASV_1659	10	0	0	0	0	0	12	0	0	8	0	0	0	0	0	0	0	5	0	0	0	0	0	8	8	18	0	0	0	12	0	0	0	0	0
ASV_1660	0	0	27	0	0	0	26	0	0	0	0	0	12	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1661	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1662	0	0	0	0	0	0	0	0	0	0	0	0	45	16	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1663	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	5	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1665	24	20	9	0	0	0	0	0	11	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1666	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	15	22	0	3	0	0	0	0	0	0	0
ASV_1667	4	18	0	0	0	0	7	0	0	0	12	0	0	0	0	0	0	0	15	0	0	8	0	0	0	0	0	0	0	0	0	8	8	0	0
ASV_1668	0	16	0	0	0	0	14	0	0	0	0	0	0	0	16	0	0	0	0	0	6	17	0	0	0	0	0	0	11	0	0	0	0	0	0
ASV_1669	0	0	24	0	0	0	13	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	11	0	16	0	0	0
ASV_1670	0	0	16	0	0	0	0	0	0	0	0	0	10	0	0	0	42	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1671	0	0	0	0	0	0	42	0	0	0	0	0	12	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1672	0	0	0	0	0	0	22	0	0	16	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1673	0	0	0	0	0	0	9	0	0	0	0	0	0	0	25	0	13	14	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
ASV_1674	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1675	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	12	9	0	0	0	11	0	0	24	0	0	0	0	0	5	0	0
ASV_1676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
ASV_1677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0
ASV_1678	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV_1679	0	0	0	0	0	0	12	6	6	9	23	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV_1680	0	0	0	0	0	0	8	0	12	0	0	0	0	0	0	18	6	0	0	0	8	0	0	12	0	0	15	0	0	0	0	0	0	0	0
ASV_1681	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	5	0	19	7	0	0	0	0	0	0	0	0
ASV_1682	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	19	0	0	0	0	0	0	5	0	9	0	25	12	0	0	0	0	0	0
ASV_1683	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	32	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0
ASV_1685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1686	25	0	0	0	0	0	0	15	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
ASV_1687	0	14	0	0	0	0	0	0	0	0	46	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1688	0	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	36	0	0	0	0	0
ASV_1689	0	0	0	0	0	0	58	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1690	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	9	0	0	19	0	0	0	0	0	0	0	0	0	12	14	0	0	10	0	0
ASV_1691	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1693	11	4	8	0	0	0	0	26	4	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1694	11	4	0	0	0	0	16	0	0	0	0	0	0	0	13	0	0	9	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0	0
ASV_1695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0
ASV_1697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0
ASV_1698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
ASV_1699	6	0	9	0	0	0	0	0	0	6	0	0	0	16	0	0	0	0	0	0	10	7	0	0	0	6	0	0	0	7	0	0	9	0	0
ASV_1700	0	0	16	0	0	0	0	0	0	0	16	0	0	19	0	5	0	0	0	0	0	7	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV_1701	0	0	15	0	0	0	0	0	0	0	0	0	0	0	20	0	0	18	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1702	0	0	0	0	0	0	20	0	0	0	0	0	0	30	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1703	0	0	0	0	0	0	0	31	0	17	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ASV_1704	0	0	0	0	0	0	0	43	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1705	0	0	0	0	0	0	0	19	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	13	16	0	0
ASV_1706	0	0	0	0	0	0	0	0	0	9	9	0	33	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	19	0	0	0	0
ASV_1707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0
ASV_1708	21	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	22	0	0	0	0	0	0	0	0	0
ASV_1709	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1710	5	0	4	0	0	0	8	0	0	10	0	0	0	0	0	0	0	9	0	24	11	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_1711	0	11	0	0	0	0	0	18	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0
ASV_1712	0	0	25	0	0	0	0	7	0	5	0	0	0	0	0	0	0	11	0	15	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
ASV_1713	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1714	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	8	0	0	0	5	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0
ASV_1715	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	50	0	0	0	0	0	0	0	0
ASV_1716	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
ASV_1717	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0
ASV_1718	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	17	7	0	19	0	0
ASV_1719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1720	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0	0	0	16	0	0	0	0	0
ASV_1721	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	12	17	0	0	0	0	0	0	0	0
ASV_1722	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0
ASV_1723	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0
ASV_1724	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	17	0	0	18	0	10	0	0	0	0	0	0	0	0	0	0	0
ASV_1725	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0
ASV_1728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0
ASV_1729	34	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
ASV_1730	42	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
ASV_1731	37	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0
ASV_1732	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	14	7	0	0	18	0	0
ASV_1733	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1734	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	20	0	0	0	0	0	0	0	0
ASV_1735	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	21	0	0	0	0	0	8	0	17	15	0	0	0	0	0	0
