	SRR21492517_R1_filtered.fastq.gz	SRR21492518_R1_filtered.fastq.gz	SRR21492519_R1_filtered.fastq.gz	SRR21492520_R1_filtered.fastq.gz	SRR21492521_R1_filtered.fastq.gz	SRR21492522_R1_filtered.fastq.gz	SRR21492523_R1_filtered.fastq.gz	SRR21492524_R1_filtered.fastq.gz	SRR21492525_R1_filtered.fastq.gz	SRR21492526_R1_filtered.fastq.gz	SRR21492527_R1_filtered.fastq.gz	SRR21492528_R1_filtered.fastq.gz	SRR21492529_R1_filtered.fastq.gz	SRR21492530_R1_filtered.fastq.gz	SRR21492531_R1_filtered.fastq.gz	SRR21492532_R1_filtered.fastq.gz	SRR21492533_R1_filtered.fastq.gz	SRR21492534_R1_filtered.fastq.gz	SRR21492535_R1_filtered.fastq.gz	SRR21492536_R1_filtered.fastq.gz	SRR21492537_R1_filtered.fastq.gz	SRR21492538_R1_filtered.fastq.gz	SRR21492539_R1_filtered.fastq.gz	SRR21492540_R1_filtered.fastq.gz	SRR21492541_R1_filtered.fastq.gz	SRR21492542_R1_filtered.fastq.gz	SRR21492543_R1_filtered.fastq.gz	SRR21492544_R1_filtered.fastq.gz	SRR21492545_R1_filtered.fastq.gz	SRR21492546_R1_filtered.fastq.gz	SRR21492547_R1_filtered.fastq.gz	SRR21492548_R1_filtered.fastq.gz	SRR21492549_R1_filtered.fastq.gz	SRR21492550_R1_filtered.fastq.gz	SRR21492551_R1_filtered.fastq.gz
ASV_41	81	12	119	0	0	0	274	20	584	50	31	0	524	28	925	532	1506	291	0	85	235	46	0	339	0	396	310	577	468	0	99	8	338	0	0
ASV_42	0	0	613	0	0	0	22	0	0	0	6824	0	0	277	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0
ASV_43	1166	0	1170	5	0	0	0	93	91	12	22	0	11	67	242	381	172	546	0	403	1850	37	12	371	0	157	50	191	130	148	0	0	60	0	0
ASV_44	0	0	95	0	0	0	2128	0	327	60	250	0	0	0	122	0	100	1854	0	315	76	227	10	324	0	637	0	158	676	0	0	0	0	0	0
ASV_45	62	73	108	0	0	0	83	0	143	0	0	0	202	80	0	599	663	274	0	0	465	0	0	1103	0	54	1633	526	136	21	1057	0	0	0	18
ASV_46	64	28	420	0	0	0	302	94	184	102	72	0	770	162	0	1291	272	196	0	233	1078	0	0	76	53	0	535	123	256	0	108	110	338	17	0
ASV_47	1427	588	0	0	0	0	308	226	255	323	70	0	32	370	868	385	29	302	37	94	96	70	0	78	92	348	107	26	119	0	194	72	269	0	0
ASV_48	132	62	230	0	0	0	249	51	195	42	320	0	98	42	200	400	1179	114	0	0	187	0	27	548	75	164	81	895	559	31	716	0	42	0	0
ASV_49	28	19	265	0	0	0	145	327	544	261	0	0	106	1811	0	0	110	0	0	224	0	0	0	631	0	58	847	558	430	0	0	0	0	0	0
ASV_50	384	1601	1402	0	0	0	0	0	8	649	110	0	443	252	47	157	0	0	18	0	246	65	0	0	221	0	9	19	83	449	59	20	24	0	0
ASV_51	0	256	0	0	0	0	0	635	51	0	69	0	0	53	3339	103	0	87	82	0	0	171	0	11	0	0	0	0	0	0	0	1281	97	0	0
ASV_52	0	0	0	0	0	0	0	0	0	0	0	6213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_53	237	80	145	0	0	0	503	23	0	129	485	0	74	516	0	168	40	35	0	1479	0	0	0	1175	0	184	585	188	93	0	0	34	0	0	0
ASV_54	91	54	319	0	0	0	407	127	179	347	221	0	280	400	90	200	239	324	108	312	91	84	0	283	98	133	284	307	372	178	326	137	57	0	0
ASV_55	115	31	225	0	0	0	115	39	373	67	75	0	150	104	214	479	283	336	0	454	99	60	18	952	70	135	119	683	160	77	560	0	44	0	0
ASV_56	0	0	76	0	0	0	234	0	396	0	0	0	0	389	162	0	1634	907	0	471	0	0	0	208	0	754	424	0	347	0	0	0	0	0	0
ASV_57	225	475	616	0	0	0	229	321	195	190	0	0	0	256	432	427	0	223	79	85	0	0	0	0	169	238	149	277	476	194	85	335	264	0	0
ASV_58	4454	0	0	0	0	0	19	122	0	0	0	0	96	0	0	0	0	108	0	235	755	0	11	0	0	0	0	0	0	91	0	24	0	0	0
ASV_59	64	0	0	0	0	0	0	0	53	0	0	0	0	0	162	0	0	0	0	2054	2673	0	0	0	0	0	0	0	0	12	0	784	100	0	0
ASV_60	68	533	176	0	0	0	68	52	451	176	491	0	19	244	0	257	146	0	180	365	57	0	0	104	386	637	10	36	146	192	186	547	287	8	0
ASV_61	2154	230	141	0	0	0	44	38	27	24	88	0	0	46	164	421	180	99	0	25	234	19	0	17	243	175	653	0	0	59	45	80	245	0	0
ASV_62	605	259	748	0	0	0	0	126	0	103	498	0	77	0	75	96	18	19	0	127	131	84	0	105	702	32	166	453	320	89	194	365	0	14	0
ASV_63	401	146	194	0	0	0	166	185	110	224	267	0	169	139	255	237	168	190	114	224	398	100	0	95	158	230	176	104	240	120	176	319	80	0	0
ASV_64	84	45	53	0	0	0	91	121	45	47	70	0	162	0	107	0	191	170	90	122	101	302	0	120	62	352	269	179	398	669	131	457	802	0	0
ASV_65	140	105	0	0	0	0	179	82	153	210	165	0	0	158	707	43	9	713	45	140	107	68	0	0	298	164	553	408	469	226	0	0	80	0	0
ASV_66	0	0	0	5	0	0	306	32	144	0	68	0	132	0	92	1490	433	156	125	145	242	39	0	543	0	97	622	86	269	77	0	18	0	0	0
ASV_67	211	294	164	0	0	0	348	177	66	311	244	0	0	166	73	53	210	0	374	68	26	180	0	217	208	273	258	182	176	291	130	253	132	16	0
ASV_68	1738	0	0	0	0	0	0	0	0	0	0	0	74	0	0	55	0	217	0	0	896	89	14	0	0	135	576	80	341	513	50	158	153	0	0
ASV_69	20	194	0	0	0	0	242	30	141	578	74	0	9	1663	97	42	24	42	22	9	0	78	0	0	95	0	80	39	126	150	1129	115	17	19	0
ASV_70	65	65	99	0	0	0	623	211	39	77	0	0	40	245	413	89	272	93	74	0	603	0	0	170	325	219	322	122	221	244	191	80	95	0	0
ASV_71	476	391	96	0	0	0	350	203	186	317	60	0	0	100	20	16	328	173	0	215	302	23	0	17	0	844	373	39	51	0	0	99	208	0	0
ASV_72	226	542	119	0	0	0	140	74	52	615	69	0	50	243	0	130	0	0	0	203	363	0	0	0	59	102	369	0	0	0	68	1107	352	0	0
