	SRR17060816_R1_filtered.fastq.gz	SRR17060817_R1_filtered.fastq.gz	SRR17060818_R1_filtered.fastq.gz	SRR17060819_R1_filtered.fastq.gz	SRR17060820_R1_filtered.fastq.gz	SRR17060821_R1_filtered.fastq.gz	SRR17060824_R1_filtered.fastq.gz	SRR17060830_R1_filtered.fastq.gz	SRR17060831_R1_filtered.fastq.gz	SRR17060832_R1_filtered.fastq.gz	SRR17060833_R1_filtered.fastq.gz	SRR17060834_R1_filtered.fastq.gz	SRR17060835_R1_filtered.fastq.gz	SRR17060836_R1_filtered.fastq.gz	SRR17060837_R1_filtered.fastq.gz	SRR17060838_R1_filtered.fastq.gz	SRR17060846_R1_filtered.fastq.gz	SRR17060847_R1_filtered.fastq.gz
ASV_302	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_303	91	27	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0
ASV_304	0	0	0	0	0	0	0	0	0	0	0	99	0	0	165	0	0	0
ASV_305	83	17	0	0	0	0	0	0	0	73	0	0	89	0	0	0	0	0
ASV_306	0	0	0	0	0	0	0	0	0	0	0	182	0	0	80	0	0	0
ASV_307	0	0	0	0	0	0	0	0	0	0	0	127	0	0	130	0	0	0
ASV_308	15	0	0	104	0	0	0	0	0	0	0	0	137	0	0	0	0	0
ASV_309	0	0	0	0	0	0	0	0	0	0	0	186	0	0	68	0	0	0
ASV_310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0
ASV_311	0	0	0	72	0	0	0	0	0	0	0	0	179	0	0	0	0	0
ASV_312	75	13	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
ASV_313	111	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_314	0	0	0	0	0	0	0	0	0	0	0	134	0	0	109	0	0	0
ASV_315	0	0	0	0	0	0	0	0	0	0	0	123	0	0	119	0	0	0
ASV_316	43	7	0	36	0	0	0	0	0	0	0	0	152	0	0	0	0	0
ASV_317	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	34	0	0
ASV_318	0	0	0	0	0	0	0	0	0	0	0	102	0	0	135	0	0	0
ASV_319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0
ASV_320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0
ASV_321	79	61	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_322	0	0	0	0	0	100	132	0	0	0	0	0	0	0	0	0	0	0
ASV_323	0	0	0	0	0	8	0	14	0	147	0	63	0	0	0	0	0	0
ASV_324	0	0	0	0	0	0	0	0	0	0	0	175	0	0	57	0	0	0
ASV_325	6	0	67	45	109	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV_326	0	0	0	0	0	0	0	0	0	0	0	122	0	0	108	0	0	0
ASV_327	0	0	0	0	0	0	0	0	0	0	0	101	0	0	129	0	0	0
ASV_328	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_329	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0
ASV_330	129	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_331	46	13	0	44	0	0	0	0	0	0	0	0	122	0	0	0	0	0
ASV_332	0	0	0	0	0	0	0	0	0	0	0	194	0	0	30	0	0	0
ASV_333	0	0	0	0	0	0	0	0	0	0	0	149	0	0	74	0	0	0
ASV_334	0	0	0	0	195	26	0	0	0	0	0	0	0	0	0	0	0	0
ASV_335	0	0	0	0	0	0	0	0	0	0	0	144	0	0	77	0	0	0
ASV_336	0	0	0	0	0	0	0	0	0	0	0	112	0	0	105	0	0	0
ASV_337	0	0	0	0	0	0	0	0	0	0	0	95	0	0	120	0	0	0
ASV_338	43	15	0	63	0	0	0	0	0	0	0	0	93	0	0	0	0	0
ASV_339	0	0	0	0	0	0	0	0	0	0	0	108	0	0	106	0	0	0
ASV_340	0	0	0	0	0	0	0	0	0	0	0	89	0	0	125	0	0	0
ASV_341	0	0	53	0	0	55	38	0	0	0	0	0	0	0	0	0	0	67
ASV_342	53	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
ASV_343	36	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211
ASV_345	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188
ASV_346	0	0	0	37	0	0	0	0	0	0	0	0	172	0	0	0	0	0
ASV_347	0	0	0	0	0	0	0	0	0	0	0	117	0	0	91	0	0	0
ASV_348	0	0	0	0	0	0	0	0	0	0	0	102	0	0	106	0	0	0
ASV_349	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0
ASV_350	0	0	0	23	0	0	0	0	0	0	0	0	183	0	0	0	0	0
ASV_351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0
ASV_352	0	0	0	65	0	0	0	0	0	0	0	0	134	0	0	0	0	0
ASV_353	0	0	0	0	0	0	0	0	0	0	0	75	0	0	124	0	0	0
ASV_354	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0
ASV_355	0	0	0	76	0	0	0	0	0	0	0	0	122	0	0	0	0	0
ASV_356	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0
ASV_357	0	0	0	0	0	0	0	0	0	0	0	96	0	0	102	0	0	0
ASV_358	0	0	0	116	0	0	0	0	0	0	0	0	81	0	0	0	0	0
ASV_359	0	0	0	0	0	0	0	0	0	0	0	148	0	0	49	0	0	0
ASV_360	0	0	0	117	0	0	0	0	0	0	0	0	79	0	0	0	0	0
ASV_361	0	0	0	0	0	0	0	35	118	37	2	0	0	3	0	0	0	0
ASV_362	0	0	0	0	0	0	0	0	0	0	0	143	0	0	52	0	0	0
ASV_363	0	0	0	0	0	0	0	0	0	0	0	127	0	0	68	0	0	0
ASV_364	0	0	0	0	0	0	0	0	0	0	0	142	0	0	52	0	0	0
ASV_365	23	0	0	36	0	0	0	0	0	0	0	0	131	0	0	0	0	0
ASV_366	0	0	0	0	0	0	0	0	0	0	0	149	0	0	41	0	0	0
ASV_367	146	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_368	0	0	0	0	0	0	0	47	129	0	0	0	13	0	0	0	0	0
ASV_369	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0
ASV_370	0	0	0	0	0	95	33	0	0	0	0	0	0	0	0	0	0	60
ASV_371	0	0	0	0	0	97	50	0	0	39	0	0	0	0	0	1	0	0
ASV_372	0	0	0	0	0	0	0	0	0	0	0	115	0	0	70	0	0	0
ASV_373	0	0	0	0	0	0	0	86	98	0	0	0	0	0	0	0	0	0
ASV_374	0	0	0	0	0	0	0	0	0	0	0	86	0	0	98	0	0	0
ASV_375	0	0	0	0	0	0	0	0	0	0	0	78	0	0	106	0	0	0
ASV_376	131	25	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0
ASV_377	0	0	0	0	0	43	56	0	0	0	0	0	0	0	0	0	0	84
ASV_378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0
ASV_379	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_380	0	0	0	0	0	0	0	0	0	0	0	98	0	0	84	0	0	0
ASV_381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0
ASV_382	0	0	0	0	0	20	34	0	0	9	18	0	0	0	0	0	0	100
ASV_383	0	0	0	0	0	0	0	0	0	70	0	73	0	0	38	0	0	0
ASV_384	0	0	0	0	0	0	0	0	0	0	0	102	0	0	79	0	0	0
ASV_385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0
ASV_386	37	12	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0
ASV_387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0
ASV_388	0	0	0	0	0	0	0	0	0	0	0	100	0	0	78	0	0	0
ASV_389	0	0	0	94	83	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_390	0	0	0	0	0	0	0	0	0	0	0	107	0	0	69	0	0	0
ASV_391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0
ASV_392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176
ASV_393	29	3	2	27	0	0	0	0	0	0	0	0	114	0	0	0	0	0
ASV_394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0
ASV_395	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_396	32	0	0	74	0	0	0	0	0	0	0	0	68	0	0	0	0	0
ASV_397	60	0	0	37	0	0	0	0	0	0	0	0	76	0	0	0	0	0
ASV_398	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0
ASV_399	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0
ASV_400	0	0	0	0	0	0	0	0	0	0	0	108	0	0	58	0	0	0
ASV_401	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0
ASV_402	60	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0
ASV_403	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	111
ASV_404	0	0	0	0	0	0	0	0	0	0	0	107	0	0	56	0	0	0
ASV_405	77	15	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_406	70	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_407	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0
ASV_408	0	0	0	0	0	0	0	0	0	0	0	103	0	0	59	0	0	0
ASV_409	0	0	0	0	0	0	0	0	52	0	109	0	0	0	0	0	0	0
ASV_410	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	85	0	0
ASV_411	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0
ASV_412	0	0	0	0	0	0	0	0	0	0	0	58	0	0	102	0	0	0
ASV_413	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_414	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	109	0	0
ASV_415	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0
ASV_416	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0
ASV_417	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
ASV_418	0	0	26	0	0	0	88	0	0	0	41	0	0	0	0	0	0	0
ASV_419	0	0	0	0	0	70	0	0	0	39	0	0	0	0	0	0	46	0
ASV_420	0	0	0	0	0	0	0	0	0	0	0	98	0	0	57	0	0	0
ASV_421	0	0	0	0	0	0	0	0	81	62	0	0	0	11	0	0	0	0
ASV_422	0	0	0	0	0	0	0	0	83	70	0	0	0	0	0	0	0	0
ASV_423	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
ASV_425	0	0	0	124	0	0	0	0	0	0	0	0	27	0	0	0	0	0
ASV_426	0	0	0	41	0	12	0	0	0	0	0	0	98	0	0	0	0	0
ASV_427	0	0	0	0	0	0	0	0	0	0	0	102	0	0	49	0	0	0
ASV_428	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0
ASV_429	0	0	0	0	0	0	0	0	0	0	0	120	0	0	29	0	0	0
ASV_430	0	32	0	0	55	0	0	0	0	24	0	0	0	0	0	0	37	0
ASV_431	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	89	34	13
ASV_432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0
ASV_433	119	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_434	0	0	0	0	0	0	0	0	0	0	0	68	0	0	77	0	0	0
ASV_435	27	0	0	52	0	0	0	0	0	23	0	0	42	0	0	0	0	0
ASV_436	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0
ASV_437	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0
ASV_438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0
ASV_439	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0
ASV_440	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0
ASV_441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0
ASV_442	112	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_443	12	0	0	83	0	0	0	0	0	0	0	0	45	0	0	0	0	0
ASV_444	0	0	0	0	0	0	0	0	0	0	0	117	0	0	23	0	0	0
ASV_445	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0
ASV_446	35	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0
ASV_447	0	0	0	108	0	0	0	0	0	0	0	0	31	0	0	0	0	0
ASV_448	0	0	0	0	0	42	0	0	0	0	0	0	97	0	0	0	0	0
ASV_449	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	113	0	0
ASV_450	110	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_451	0	0	0	44	0	4	0	0	0	30	0	0	60	0	0	0	0	0
ASV_452	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0
ASV_453	0	0	0	0	0	0	0	0	0	0	0	104	0	0	34	0	0	0
ASV_454	0	0	0	0	0	0	0	0	0	0	0	77	0	0	61	0	0	0
ASV_455	39	0	0	53	0	0	0	0	0	0	0	0	45	0	0	0	0	0
ASV_456	44	0	0	64	0	0	0	0	0	0	0	0	27	0	0	0	0	0
ASV_457	69	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_458	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0
ASV_459	0	0	0	0	0	0	0	0	0	0	0	68	0	0	66	0	0	0
ASV_460	0	0	0	0	0	0	0	0	0	0	0	58	0	0	76	0	0	0
ASV_461	96	32	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV_462	49	0	0	61	0	0	0	0	0	0	0	0	23	0	0	0	0	0
ASV_463	48	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0
ASV_464	39	0	0	44	0	5	0	0	0	0	0	0	45	0	0	0	0	0
ASV_465	32	0	0	3	0	0	0	0	0	0	0	0	98	0	0	0	0	0
ASV_466	0	0	0	59	0	0	0	0	0	0	0	0	74	0	0	0	0	0
ASV_467	0	0	0	0	0	0	0	0	0	0	0	95	0	0	38	0	0	0
ASV_468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0
ASV_469	0	0	0	0	0	0	11	0	0	0	105	0	0	0	0	15	0	0
ASV_470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0
ASV_471	0	0	0	0	0	0	0	49	44	36	0	0	0	0	0	0	0	0
ASV_472	0	0	0	0	0	0	0	0	0	0	0	83	0	0	46	0	0	0
ASV_473	0	0	0	37	0	0	0	0	0	0	0	0	91	0	0	0	0	0
ASV_474	0	0	0	0	0	0	0	0	0	0	0	83	0	0	45	0	0	0
ASV_475	0	0	0	0	0	0	0	0	0	0	0	69	0	0	59	0	0	0
ASV_476	0	0	0	43	0	0	0	0	0	6	0	0	78	0	0	0	0	0
ASV_477	0	0	0	0	0	101	0	0	0	26	0	0	0	0	0	0	0	0
ASV_478	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0
ASV_479	0	0	0	70	56	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_480	0	0	0	0	0	0	0	0	0	0	0	33	0	0	93	0	0	0
ASV_481	0	0	0	0	0	0	0	0	0	0	0	70	0	0	55	0	0	0
ASV_482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0
ASV_483	0	0	0	0	0	0	0	0	0	0	0	78	0	0	46	0	0	0
ASV_484	0	0	0	0	0	0	0	0	0	0	0	48	0	0	75	0	0	0
ASV_485	0	0	0	0	0	0	0	0	0	0	0	36	0	0	87	0	0	0
ASV_486	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0
ASV_487	0	0	0	0	0	0	0	0	0	0	0	63	0	0	58	0	0	0
ASV_488	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0
ASV_489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0
ASV_490	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0
ASV_491	0	0	0	0	0	0	0	0	0	0	0	54	0	0	65	0	0	0
ASV_492	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_493	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0
ASV_494	106	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_495	0	0	0	0	0	0	0	0	0	0	0	46	0	0	71	0	0	0
ASV_496	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0
ASV_497	0	0	0	108	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ASV_498	0	0	0	83	0	0	0	0	0	0	0	0	33	0	0	0	0	0
ASV_499	0	0	0	0	0	0	0	0	0	0	0	69	0	0	47	0	0	0
ASV_500	0	0	0	0	0	0	0	0	0	0	0	56	0	0	60	0	0	0
ASV_501	0	0	0	0	0	0	0	0	0	0	0	60	0	0	55	0	0	0
ASV_502	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0
ASV_503	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0
ASV_504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0
ASV_505	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0
ASV_506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0
ASV_507	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0
ASV_508	0	0	0	0	10	0	54	0	0	0	48	0	0	0	0	0	0	0
ASV_509	0	0	0	0	0	0	0	0	0	0	0	69	0	0	43	0	0	0
ASV_510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0
ASV_511	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0
ASV_512	0	0	0	0	0	0	0	12	69	0	0	29	0	0	0	0	0	0
ASV_513	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0
ASV_514	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0
ASV_515	0	0	0	0	0	0	0	0	0	0	0	83	0	0	27	0	0	0
ASV_516	0	0	0	0	0	0	0	0	0	0	0	76	0	0	34	0	0	0
ASV_517	91	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_518	0	0	0	0	0	0	0	0	0	0	0	82	0	0	27	0	0	0
ASV_519	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0
ASV_520	18	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0
ASV_521	0	0	0	0	0	0	0	0	0	0	0	95	0	0	13	0	0	0
ASV_522	0	0	0	0	0	0	0	0	0	0	0	59	0	0	49	0	0	0
ASV_523	0	0	0	0	0	0	0	0	0	0	0	59	0	0	49	0	0	0
ASV_524	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_525	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0
ASV_526	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0
ASV_527	0	0	0	0	0	0	0	0	0	0	0	48	0	0	59	0	0	0
ASV_528	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0
ASV_529	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_530	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0
ASV_531	0	0	0	76	0	0	0	0	0	0	0	0	29	0	0	0	0	0
ASV_532	0	0	0	23	0	0	0	0	0	0	0	0	82	0	0	0	0	0
ASV_533	0	0	0	0	50	0	29	0	0	0	26	0	0	0	0	0	0	0
ASV_534	0	0	0	0	0	17	0	0	54	0	0	0	0	19	15	0	0	0
ASV_535	0	0	0	0	0	12	0	0	93	0	0	0	0	0	0	0	0	0
ASV_536	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0
ASV_537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105
ASV_538	0	10	0	0	26	0	0	0	0	0	0	0	0	0	0	0	68	0
ASV_539	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0
ASV_540	0	0	0	0	0	0	0	0	0	0	0	73	0	0	31	0	0	0
ASV_541	0	0	0	45	0	0	0	0	0	0	0	0	58	0	0	0	0	0
ASV_542	0	0	0	0	0	0	0	0	0	0	0	69	0	0	33	0	0	0
ASV_543	0	0	0	0	0	0	0	0	0	0	0	64	0	0	38	0	0	0
ASV_544	0	0	0	0	0	0	0	0	0	0	0	59	0	0	43	0	0	0
ASV_545	0	0	0	0	0	0	0	0	0	0	0	51	0	0	50	0	0	0
ASV_546	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_547	0	0	0	57	0	0	0	0	0	0	0	0	43	0	0	0	0	0
ASV_548	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
ASV_549	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
ASV_550	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
ASV_551	0	0	0	0	0	0	0	0	0	0	0	59	0	0	41	0	0	0
ASV_552	0	0	0	0	0	0	0	0	0	0	0	31	0	0	69	0	0	0
ASV_553	0	0	0	0	0	0	0	0	0	0	0	65	0	0	34	0	0	0
ASV_554	0	46	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0
ASV_555	0	10	0	20	0	0	0	0	0	0	0	0	68	0	0	0	0	0
ASV_556	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_557	0	0	0	24	0	0	0	0	0	0	0	0	74	0	0	0	0	0
ASV_558	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	44	0
ASV_559	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0
ASV_560	0	0	0	0	0	0	0	0	0	0	0	61	0	0	37	0	0	0
ASV_561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0
ASV_562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0
ASV_563	0	0	0	0	0	0	0	0	0	0	0	66	0	0	31	0	0	0
ASV_564	86	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_565	0	0	0	72	0	0	0	0	0	0	0	0	24	0	0	0	0	0
ASV_566	0	0	0	0	0	0	0	0	0	0	0	54	0	0	42	0	0	0
ASV_567	0	0	0	0	0	0	0	0	0	0	0	53	0	0	43	0	0	0
ASV_568	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0
ASV_569	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0
ASV_570	7	6	0	14	0	0	0	11	0	30	0	0	26	0	0	0	0	0
ASV_571	0	0	0	0	0	0	0	0	0	0	0	75	0	0	19	0	0	0
ASV_572	0	0	0	0	0	0	0	0	0	0	0	52	0	0	42	0	0	0
ASV_573	82	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_574	56	13	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
ASV_575	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_576	0	0	0	0	0	0	0	0	0	0	0	74	0	0	19	0	0	0
ASV_577	0	0	0	0	0	0	0	0	0	0	0	46	0	0	47	0	0	0
ASV_578	49	24	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_579	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_580	0	0	0	0	0	0	0	0	0	0	0	40	0	0	52	0	0	0
ASV_581	13	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0
ASV_582	0	0	0	0	0	0	54	0	0	0	37	0	0	0	0	0	0	0
ASV_583	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0
ASV_584	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0
ASV_585	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0
ASV_586	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0
ASV_587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0
ASV_588	0	0	0	0	0	0	0	0	0	0	0	64	0	0	26	0	0	0
ASV_589	0	0	0	0	0	0	0	0	0	0	0	56	0	0	34	0	0	0
ASV_590	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0
ASV_591	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_592	0	0	0	9	0	0	0	0	0	0	0	0	80	0	0	0	0	0
ASV_593	0	0	0	0	0	0	0	0	0	0	0	71	0	0	18	0	0	0
ASV_594	0	0	0	0	0	0	0	0	0	0	0	26	0	0	63	0	0	0
ASV_595	0	25	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0
ASV_596	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_597	0	0	0	0	0	0	0	16	66	6	0	0	0	0	0	0	0	0
ASV_598	0	0	0	0	0	0	0	0	0	0	0	45	0	0	43	0	0	0
ASV_599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0
ASV_600	28	0	0	24	0	0	0	0	0	0	0	0	35	0	0	0	0	0
ASV_601	0	0	0	0	0	22	9	0	0	12	7	0	0	0	0	0	12	24
ASV_602	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0
ASV_603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0
ASV_604	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_605	0	0	0	0	0	48	0	0	0	37	0	0	0	0	0	0	0	0
ASV_606	0	0	0	0	0	0	0	0	0	0	0	69	0	0	16	0	0	0
ASV_607	0	0	0	0	0	0	0	0	0	0	0	39	0	0	46	0	0	0
ASV_608	0	0	0	0	0	0	0	0	0	0	0	24	0	0	61	0	0	0
ASV_609	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0
ASV_610	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0
ASV_611	41	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0
ASV_612	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_613	0	0	0	12	0	0	0	0	0	0	0	0	72	0	0	0	0	0
ASV_614	0	0	0	0	0	0	0	0	0	34	0	0	50	0	0	0	0	0
ASV_615	0	0	0	20	0	0	0	0	0	0	0	0	63	0	0	0	0	0
ASV_616	0	0	0	0	0	0	0	0	35	0	8	0	0	17	0	23	0	0
ASV_617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0
ASV_618	22	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0
ASV_619	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0
ASV_620	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_621	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_622	0	0	0	16	0	0	0	0	0	0	0	0	65	0	0	0	0	0
ASV_623	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0
ASV_624	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0
ASV_625	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0
