	SRR17060816_R1_filtered.fastq.gz	SRR17060817_R1_filtered.fastq.gz	SRR17060818_R1_filtered.fastq.gz	SRR17060819_R1_filtered.fastq.gz	SRR17060820_R1_filtered.fastq.gz	SRR17060821_R1_filtered.fastq.gz	SRR17060824_R1_filtered.fastq.gz	SRR17060830_R1_filtered.fastq.gz	SRR17060831_R1_filtered.fastq.gz	SRR17060832_R1_filtered.fastq.gz	SRR17060833_R1_filtered.fastq.gz	SRR17060834_R1_filtered.fastq.gz	SRR17060835_R1_filtered.fastq.gz	SRR17060836_R1_filtered.fastq.gz	SRR17060837_R1_filtered.fastq.gz	SRR17060838_R1_filtered.fastq.gz	SRR17060846_R1_filtered.fastq.gz	SRR17060847_R1_filtered.fastq.gz
ASV_79	0	29	169	0	89	122	250	0	0	61	138	0	0	0	0	0	1586	91
ASV_80	0	0	567	7	531	397	346	0	0	214	226	0	16	0	0	0	59	117
ASV_81	0	0	0	0	0	0	0	0	0	0	0	1616	0	0	660	0	0	0
ASV_82	1463	257	0	0	0	0	0	0	0	0	0	0	542	0	0	0	0	0
ASV_83	0	69	246	0	357	138	279	0	699	66	134	0	26	0	0	74	126	36
ASV_84	0	0	90	0	498	363	421	0	0	175	221	0	34	0	0	0	101	347
ASV_85	1	0	0	0	0	0	0	0	1154	0	0	0	0	0	0	1093	0	0
ASV_86	64	19	0	311	0	0	0	0	0	0	0	0	1846	0	0	0	0	0
ASV_87	0	0	47	35	0	0	0	0	0	0	0	0	2093	0	0	0	0	0
ASV_88	41	0	0	114	0	0	0	0	0	0	0	0	1986	0	0	0	0	0
ASV_89	0	0	126	0	94	337	475	0	0	120	191	0	21	0	0	0	350	403
ASV_90	0	0	0	0	0	0	0	0	0	0	0	0	0	1785	0	321	0	0
ASV_91	0	0	18	0	218	29	52	0	0	0	28	0	0	0	0	0	1005	598
ASV_92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1918	0	0
ASV_93	0	65	362	0	0	78	11	0	0	13	8	0	0	0	0	0	0	1364
ASV_94	0	0	0	0	0	0	0	0	0	0	0	1642	0	0	161	0	0	0
