Names,BioSample,AvgSpotLen,Bases,Bytes,Collection_Date,env_local_scale,env_medium,Experiment,Host_Diet,Host,Library Name,create_date,Sample Name,replicate,Region,Location,Sex,Sample_or_Control
ERR3585841,SAMEA6061599,598,40606807,19943452,2018-05,Hindgut,fecal material (ENVO_00002003),ERX3581783,Herbivorus,Kyphosus sydneyanus,KS.SCFA.G199V-16S,2019-12-09T07:11:00Z,G199_V,,Oceania,New Zealand,,Sample
ERR3585843,SAMEA6061601,600,184723385,92329890,2018-05,Midgut,fecal material (ENVO_00002003),ERX3581785,Herbivorus,Kyphosus sydneyanus,KS.SCFA.G200IV-16S,2019-12-09T07:11:00Z,G200_IV,,Oceania,New Zealand,,Sample
ERR3585844,SAMEA6061602,597,73530687,36024470,2018-05,Hindgut,fecal material (ENVO_00002003),ERX3581786,Herbivorus,Kyphosus sydneyanus,KS.SCFA.G200V-16S,2019-12-09T07:11:00Z,G200_V,,Oceania,New Zealand,,Sample
ERR3585846,SAMEA6061604,463,11071509,6925602,2018-05,Hindgut,fecal material (ENVO_00002003),ERX3581788,Herbivorus,Kyphosus sydneyanus,KS.SCFA.G201V-16S,2019-12-09T07:12:00Z,G201_V,,Oceania,New Zealand,,Sample
SRR19856781,SAMN29361048,151,8.20 M,4.79 Mb,2019,Whole gut,,SRX15900449,Faunivorous Corallivore,Pomacanthus annularis,LF015e.M4,2022-06-2702:15:00Z,AUF006,biological replicate 2,Asia,Singapore,,Sample
SRR19856782,SAMN29361047,151,4.13 M,2.47 Mb,2019,Whole gut,,SRX15900448,Faunivorous Corallivore,Pomacanthus annularis,LF014e.M4,2022-06-2702:15:00Z,AUF007,biological replicate 1,Asia,Singapore,,Sample
SRR5331679,SAMN06556264,498,8248254,5089031,missing,Hindgut,gut contents,SRX2630506,Faunivorous Corallivore,Pomacanthus sexstriatus,E03_V,2017-03-09T18:03:00Z,E03_V,,Oceania,Great Barrier Reef,M,Sample
SRR5331680,SAMN06556263,498,15201192,9963109,12/18/14,Hindgut,gut contents,SRX2630507,Faunivorous Corallivore,Pomacanthus sexstriatus,611_V,2017-03-09T18:03:00Z,611_V,,Oceania,Great Barrier Reef,F,Sample
SRR5331681,SAMN06556262,498,17510088,11398632,12/14/14,Hindgut,gut contents,SRX2630508,Faunivorous Corallivore,Pomacanthus sexstriatus,581_V,2017-03-09T18:03:00Z,581_V,,Oceania,Great Barrier Reef,M,Sample
SRR5331682,SAMN06556261,498,19238005,12612397,12/12/14,Hindgut,gut contents,SRX2630509,Faunivorous Corallivore,Pomacanthus sexstriatus,568_V,2017-03-09T18:03:00Z,568_V,,Oceania,Great Barrier Reef,M,Sample
SRR5331686,SAMN06556257,498,26152530,16911146,12/12/14,Midgut,gut contents,SRX2630513,Faunivorous Corallivore,Pomacanthus sexstriatus,568_IV,2017-03-09T18:04:00Z,568_IV,,,,,Control
,,,,,,,,,,,,,,,,,,Control
,,,,,,,,,,,,,,,Oceania,Great Barrier Reef,M,Sample
SRR5331683,SAMN06556260,498,26800460,16182091,3/18/11,Hindgut,gut contents,SRX2630510,Faunivorous Corallivore,Pomacanthus sexstriatus,E3_V,2017-03-09T18:03:00Z,E3_V,,Oceania,Great Barrier Reef,M,Sample
SRR5331687,SAMN06556256,498,19138803,13064222,3/18/11,Midgut,gut contents,SRX2630514,Faunivorous Corallivore,Pomacanthus sexstriatus,E3_IV,2017-03-09T18:04:00Z,E3_IV,,Oceania,Great Barrier Reef,F,Sample
SRR5331684,SAMN06556259,498,39409023,23885063,3/18/11,Hindgut,gut contents,SRX2630511,Faunivorous Corallivore,Pomacanthus sexstriatus,E2_V,2017-03-09T18:04:00Z,E2_V,,Oceania,Great Barrier Reef,F,Sample
SRR5331688,SAMN06556255,498,43453462,25684517,3/18/11,Midgut,gut contents,SRX2630515,Faunivorous Corallivore,Pomacanthus sexstriatus,E2_IV,2017-03-09T18:04:00Z,E2_IV,,Oceania,Great Barrier Reef,M,Sample
SRR5331685,SAMN06556258,498,30343222,18217736,3/18/11,Hindgut,gut contents,SRX2630512,Faunivorous Corallivore,Pomacanthus sexstriatus,E1_V,2017-03-09T18:04:00Z,E1_V,,Oceania,Great Barrier Reef,M,Sample
SRR5331689,SAMN06556254,498,42025035,24167491,3/18/11,Midgut,gut contents,SRX2630516,Faunivorous Corallivore,Pomacanthus sexstriatus,E1_IV,2017-03-09T18:04:00Z,E1_IV,,Oceania,Great Barrier Reef,,Sample
SRR5331678,SAMN06556265,498,53364327,32744132,3/22/05,Hindgut,gut contents,SRX2630505,Faunivorous Corallivore,Pomacanthus sexstriatus,E05_V,2017-03-09T18:03:00Z,E05_V,,Oceania,Great Barrier Reef,,Sample
